 Elem	Todas permanentes e acidentais dos pavimentos	-	Empuxo	-	-	-	-	Vento (1) 78°	-	-	-	-	Vento (2) 258°	-	-	-	-	Vento (3) 348°	-	-	-	-	Vento (4) 168°	-	-	-	-	Vento (5) 33°	-	-	-	-	Vento (6) 123°	-	-	-	-	Vento (7) 213°	-	-	-	-	-	Vento (8) 303°	-	-	-	-	-	
 	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Mz	Fz	Fx	Fy	Mx	My	Mz
 P113	   -0,15	   -4,54	   -2,97	  -18,44	    3,79	  -11,45	  -54,20	   24,39	    0,06	    0,23	   -0,42	    0,72	  -24,39	   -0,06	   -0,23	    0,42	   -0,72	    9,73	   10,00	   -2,01	   11,85	   55,23	   -9,73	   -9,99	    2,01	  -11,85	  -55,22	   61,16	    4,89	   -0,44	    4,71	   27,96	   52,00	   -4,78	    1,52	   -6,75	  -25,37	  -61,15	   -4,89	    0,44	   -4,72	  -27,97	   -0,00	  -52,00	    4,78	   -1,52	    6,74	   25,36	    0,00
 P114	   -1,14	   -5,40	   -8,93	  -29,09	    6,21	  -19,92	  -92,55	  -10,67	    0,30	    0,07	   -0,17	    0,73	   10,67	   -0,30	   -0,07	    0,17	   -0,73	  -24,91	    9,98	   -2,16	   14,49	   66,59	   24,91	   -9,98	    2,16	  -14,49	  -66,58	  -36,68	    5,37	   -0,86	    6,42	   32,90	  -13,08	   -4,09	    1,19	   -7,30	  -30,10	   36,68	   -5,37	    0,86	   -6,42	  -32,90	   -0,00	   13,08	    4,09	   -1,19	    7,30	   30,09	   -0,00
 P115	   -1,56	   -7,24	  -24,87	  -56,26	   12,13	  -40,09	 -185,26	   17,74	    0,17	    0,12	   -0,54	   -0,80	  -17,74	   -0,17	   -0,12	    0,54	    0,81	   15,28	   14,08	   -3,07	   19,24	   88,33	  -15,28	  -14,07	    3,07	  -19,24	  -88,32	   48,17	    6,80	   -1,14	    7,55	   38,47	   34,37	   -6,02	    1,66	  -10,01	  -42,08	  -48,16	   -6,80	    1,14	   -7,55	  -38,47	   -0,00	  -34,38	    6,02	   -1,66	   10,01	   42,07	   -0,00
 P116	   -0,59	   -0,33	   -2,87	   -5,78	    0,33	   -1,12	  -14,51	   -4,24	    0,18	    0,67	   -2,00	    0,44	    4,24	   -0,18	   -0,67	    2,00	   -0,44	   20,74	    1,03	   -0,16	    0,82	    4,06	  -20,74	   -1,03	    0,16	   -0,82	   -4,06	   -0,73	    0,87	    1,43	   -4,14	    2,80	  -19,03	   -0,03	    1,59	   -4,93	   -0,77	    0,72	   -0,87	   -1,43	    4,14	   -2,80	   -0,00	   19,03	    0,03	   -1,59	    4,93	    0,77	   -0,00
 P118	   65,49	  -69,02	    7,38	  -46,21	    6,76	  -58,61	 -386,80	  -34,45	    2,48	   10,52	 -487,07	  112,72	   34,44	   -2,48	  -10,52	  487,09	 -112,69	 -125,26	   19,02	   -4,52	  148,31	  539,60	  125,24	  -19,01	    4,51	 -148,24	 -539,54	 -139,91	   14,59	   21,48	-1038,73	  512,14	  -20,03	   -3,63	   26,07	-1190,71	   -1,95	  139,91	  -14,59	  -21,48	 1038,53	 -512,13	   -0,00	   20,04	    3,62	  -26,07	 1190,66	    1,92	    0,00
 P119	   -0,22	   -1,04	   11,60	   -7,62	    1,64	   -4,22	  -19,50	  -12,41	    0,10	    0,06	   -0,14	    0,22	   12,40	   -0,10	   -0,06	    0,14	   -0,22	  -83,29	    3,05	   -0,65	    2,70	   12,43	   83,28	   -3,05	    0,65	   -2,70	  -12,43	  -68,08	    1,67	   -0,18	    0,96	    6,34	   10,81	   -1,23	    0,45	   -1,61	   -5,45	   68,08	   -1,67	    0,18	   -0,96	   -6,34	   -0,00	  -10,81	    1,23	   -0,45	    1,61	    5,45	   -0,00
 P120	   -0,25	   -1,03	   11,10	   -8,36	    1,82	   -4,62	  -21,22	    0,24	    0,08	    0,06	   -0,14	    0,17	   -0,25	   -0,08	   -0,06	    0,14	   -0,17	  -76,83	    3,23	   -0,70	    2,75	   12,61	   76,82	   -3,23	    0,70	   -2,75	  -12,61	  -35,79	    1,69	   -0,20	    0,97	    6,29	   36,90	   -1,36	    0,46	   -1,63	   -5,62	   35,80	   -1,69	    0,20	   -0,97	   -6,30	   -0,00	  -36,89	    1,36	   -0,46	    1,63	    5,61	   -0,00
 P121	   -5,11	  -18,51	  -17,43	  -56,38	   12,04	  -56,75	 -262,39	   24,53	    0,40	    0,56	   -1,53	    0,51	  -24,52	   -0,40	   -0,56	    1,53	   -0,50	   47,39	   16,79	   -3,55	   46,28	  212,91	  -47,38	  -16,79	    3,55	  -46,28	 -212,89	   79,62	    8,72	   -0,40	   18,09	  100,29	   34,47	   -7,02	    2,94	  -25,27	  -99,05	  -79,61	   -8,72	    0,40	  -18,10	 -100,30	   -0,00	  -34,48	    7,02	   -2,94	   25,27	   99,03	   -0,00
 P122	   -2,50	  -20,71	   -5,28	  -74,16	   15,78	  -76,21	 -353,70	  -17,49	    0,06	    0,64	   -1,98	   -1,35	   17,49	   -0,06	   -0,64	    1,98	    1,36	   42,81	   16,99	   -3,79	   50,35	  230,73	  -42,80	  -16,99	    3,79	  -50,34	 -230,70	  -21,46	    7,93	   -0,30	   18,65	  102,87	  -59,69	   -7,70	    3,20	  -27,68	 -109,28	   21,45	   -7,93	    0,30	  -18,66	 -102,88	   -0,00	   59,69	    7,69	   -3,20	   27,67	  109,26	   -0,00
 P123	   -0,18	   -1,03	   15,65	  -13,01	    2,80	   -7,03	  -32,56	    2,12	    0,01	    0,07	   -0,18	   -0,05	   -2,13	   -0,01	   -0,07	    0,18	    0,05	  -73,52	    3,27	   -0,71	    2,77	   12,74	   73,51	   -3,27	    0,71	   -2,77	  -12,74	  -28,37	    1,53	   -0,17	    0,85	    5,72	   38,24	   -1,46	    0,48	   -1,69	   -5,93	   28,37	   -1,53	    0,17	   -0,85	   -5,72	   -0,00	  -38,24	    1,46	   -0,48	    1,69	    5,93	   -0,00
 P124	   -0,21	   -1,11	   23,81	  -13,18	    2,89	   -7,33	  -33,59	   16,66	   -0,03	    0,09	   -0,22	   -0,12	  -16,66	    0,03	   -0,09	    0,22	    0,12	  -87,13	    3,13	   -0,70	    2,78	   12,65	   87,12	   -3,13	    0,70	   -2,78	  -12,65	   -1,07	    1,35	   -0,11	    0,78	    5,49	   77,96	   -1,49	    0,53	   -1,75	   -6,02	    1,08	   -1,35	    0,11	   -0,78	   -5,49	   -0,00	  -77,95	    1,49	   -0,53	    1,75	    6,02	   -0,00
 P125	  103,26	  -84,78	   -6,13	 -110,02	   14,92	 -215,70	 -857,22	   11,18	    2,10	   11,20	 -810,98	  166,73	  -11,18	   -2,10	  -11,21	  811,02	 -166,73	 -127,16	   22,54	   -4,28	  201,22	  562,87	  127,15	  -22,54	    4,28	 -201,10	 -562,84	  -31,67	   14,88	   23,19	-1754,75	  634,00	   82,43	   -5,31	   27,36	-1955,22	  130,90	   31,67	  -14,88	  -23,19	 1754,43	 -633,94	   -0,00	  -82,42	    5,31	  -27,36	 1955,15	 -130,94	   -0,00
 P126	    0,11	   -0,39	    1,52	   -6,29	    1,24	   -3,12	  -14,15	   -3,67	    0,25	    0,97	   -2,80	    0,62	    3,67	   -0,25	   -0,97	    2,80	   -0,62	  -55,80	    1,44	   -0,38	    1,09	    4,26	   55,80	   -1,44	    0,38	   -1,09	   -4,26	  -33,30	    1,20	    2,01	   -5,84	    3,29	   15,64	   -0,07	    2,36	   -6,84	   -0,47	   33,29	   -1,20	   -2,01	    5,84	   -3,29	    0,00	  -15,63	    0,07	   -2,36	    6,84	    0,47	   -0,00
 P127	    1,19	   -0,01	   -4,27	   -0,67	    1,23	   -5,81	   -1,29	    5,04	    1,02	    4,61	  -15,66	    3,44	   -5,04	   -1,02	   -4,61	   15,66	   -3,44	   72,45	    0,36	    0,01	    0,82	    1,54	  -72,44	   -0,36	   -0,01	   -0,81	   -1,54	   46,08	    2,45	   10,38	  -35,11	    8,53	  -22,74	    2,12	   10,42	  -35,85	    7,04	  -46,09	   -2,45	  -10,38	   35,11	   -8,53	   -0,00	   22,74	   -2,12	  -10,42	   35,85	   -7,04	    0,00
 P128	    3,21	   -0,61	   20,75	   -2,05	    1,94	  -15,41	   -2,49	    7,19	    1,59	    7,15	  -35,26	    7,71	   -7,20	   -1,59	   -7,15	   35,26	   -7,71	 -121,37	    0,98	    0,11	    2,15	    2,56	  121,35	   -0,98	   -0,11	   -2,15	   -2,57	  -39,50	    4,03	   16,13	  -79,20	   18,74	   73,26	    3,13	   16,10	  -80,96	   16,28	   39,51	   -4,03	  -16,13	   79,18	  -18,73	   -0,00	  -73,26	   -3,13	  -16,10	   80,95	  -16,28	   -0,00
 P129	    1,80	   -0,22	    5,90	   -0,97	    4,08	  -14,17	   -2,01	   -2,88	    1,28	    5,91	  -24,75	    5,36	    2,87	   -1,28	   -5,91	   24,75	   -5,36	  -94,23	    0,35	   -0,24	    1,51	    1,78	   94,21	   -0,35	    0,24	   -1,51	   -1,78	  -50,02	    3,04	   13,19	  -55,50	   13,00	   36,47	    2,72	   13,47	  -56,78	   11,33	   50,02	   -3,04	  -13,19	   55,49	  -13,00	   -0,00	  -36,46	   -2,72	  -13,47	   56,78	  -11,33	   -0,00
 P130	    1,39	   -0,05	   -2,83	   -1,42	    2,81	   -7,69	   -3,66	   -5,98	    1,03	    4,75	  -15,93	    3,44	    5,98	   -1,03	   -4,75	   15,93	   -3,44	   30,53	    0,25	   -0,74	    1,65	    1,48	  -30,53	   -0,25	    0,74	   -1,64	   -1,48	   -0,06	    2,42	   10,36	  -35,34	    8,45	  -27,96	    2,21	   11,09	  -36,83	    7,12	    0,05	   -2,42	  -10,35	   35,33	   -8,45	    0,00	   27,96	   -2,21	  -11,09	   36,83	   -7,12	   -0,00
 P132	   -0,40	   -4,73	    4,83	  -18,30	    4,08	  -12,07	  -54,30	    7,18	   -0,15	    0,23	   -0,41	    0,53	   -7,17	    0,15	   -0,23	    0,41	   -0,53	    9,72	    9,67	   -2,13	   12,05	   55,14	   -9,72	   -9,67	    2,13	  -12,05	  -55,14	   21,77	    4,27	   -0,49	    4,82	   27,49	   12,00	   -5,09	    1,57	   -6,82	  -25,76	  -21,76	   -4,28	    0,49	   -4,82	  -27,49	   -0,00	  -12,00	    5,09	   -1,57	    6,81	   25,76	    0,00
 P133	   -1,38	   -6,69	   -6,52	  -32,16	    7,11	  -23,90	 -108,33	   -2,69	    0,38	    0,19	   -0,47	    0,90	    2,70	   -0,38	   -0,19	    0,47	   -0,90	  102,20	   11,02	   -2,40	   17,70	   81,23	 -102,18	  -11,02	    2,40	  -17,70	  -81,22	   42,18	    6,04	   -0,70	    7,24	   40,16	  -54,77	   -4,41	    1,57	   -9,51	  -36,69	  -42,19	   -6,04	    0,70	   -7,24	  -40,16	   -0,00	   54,76	    4,41	   -1,57	    9,50	   36,69	   -0,00
 P134	   -1,47	   -6,46	   -8,79	  -50,26	   11,10	  -37,10	 -168,59	   -2,33	   -0,29	    0,33	   -0,89	   -1,02	    2,33	    0,29	   -0,33	    0,89	    1,03	   93,44	   11,44	   -2,48	   17,89	   82,14	  -93,43	  -11,44	    2,48	  -17,89	  -82,13	   36,84	    4,55	   -0,38	    6,15	   35,15	  -47,48	   -5,87	    1,88	  -10,16	  -39,75	  -36,84	   -4,55	    0,38	   -6,15	  -35,15	   -0,00	   47,47	    5,87	   -1,88	   10,16	   39,75	   -0,00
 P135	    1,63	    0,86	    3,90	   -2,34	    5,57	  -15,85	   -4,10	   -7,93	    0,85	    3,83	  -12,82	    2,79	    7,93	   -0,85	   -3,83	   12,82	   -2,79	  -15,43	    0,69	   -1,03	    2,15	    1,86	   15,43	   -0,69	    1,03	   -2,15	   -1,86	  -25,63	    2,21	    8,19	  -28,17	    7,16	  -11,66	    1,61	    9,11	  -29,84	    5,47	   25,62	   -2,21	   -8,19	   28,17	   -7,16	    0,00	   11,66	   -1,61	   -9,10	   29,84	   -5,47	    0,00
 P136	   -0,09	   -0,75	    2,10	  -31,29	    6,99	  -21,30	  -95,48	   -1,51	    0,06	    0,16	   -0,49	    0,03	    1,51	   -0,06	   -0,16	    0,49	   -0,02	  -53,29	    8,60	   -1,88	   11,16	   51,20	   53,29	   -8,59	    1,88	  -11,16	  -51,19	  -28,18	    4,10	   -0,51	    4,05	   23,75	   21,06	   -3,89	    1,23	   -6,31	  -23,82	   28,18	   -4,10	    0,51	   -4,05	  -23,75	   -0,00	  -21,05	    3,89	   -1,23	    6,31	   23,82	   -0,00
 P137	   -8,87	  -39,08	   35,14	 -115,70	   26,70	 -157,86	 -707,97	  -18,77	    0,34	    0,89	   -4,65	   -8,02	   18,76	   -0,34	   -0,89	    4,65	    8,03	 -222,07	   23,40	   -5,25	   94,52	  432,49	  222,05	  -23,40	    5,25	  -94,51	 -432,45	 -143,24	   11,27	   -0,36	   31,97	  176,40	   54,33	   -9,62	    4,33	  -52,64	 -211,02	  143,23	  -11,27	    0,36	  -31,97	 -176,39	    0,00	  -54,31	    9,62	   -4,33	   52,63	  210,98	    0,00
 P138	   -0,11	    0,69	    1,38	   -7,42	    1,84	   -5,12	  -20,57	   -1,83	    0,07	    0,16	   -0,48	    0,18	    1,83	   -0,07	   -0,16	    0,48	   -0,18	  -32,61	    2,24	   -0,49	    2,44	   11,10	   32,60	   -2,24	    0,49	   -2,44	  -11,10	  -19,58	    1,21	    0,13	    0,05	    5,59	   11,04	   -0,89	    0,59	   -2,22	   -4,83	   19,59	   -1,21	   -0,13	   -0,05	   -5,59	   -0,00	  -11,04	    0,89	   -0,59	    2,22	    4,83	   -0,00
 P139	    0,51	    0,86	    3,56	   -9,12	    2,19	   -6,17	  -25,55	    1,34	   -0,04	    0,18	   -0,53	   -0,06	   -1,34	    0,04	   -0,18	    0,53	    0,06	  -46,73	    2,18	   -0,47	    2,41	   11,04	   46,72	   -2,18	    0,47	   -2,41	  -11,04	  -18,19	    0,92	    0,20	   -0,11	    4,93	   24,29	   -1,09	    0,63	   -2,31	   -5,22	   18,19	   -0,92	   -0,20	    0,11	   -4,93	   -0,00	  -24,28	    1,09	   -0,63	    2,31	    5,22	   -0,00
 P140	   -0,09	    0,72	    4,50	  -11,91	    2,98	   -7,91	  -32,04	   -1,44	   -0,03	    0,17	   -0,53	   -0,10	    1,44	    0,03	   -0,17	    0,53	    0,10	  -48,50	    2,51	   -0,60	    2,64	   11,61	   48,50	   -2,51	    0,60	   -2,64	  -11,61	  -25,30	    1,08	    0,12	   -0,01	    5,03	   18,29	   -1,19	    0,66	   -2,38	   -5,46	   25,30	   -1,08	   -0,12	    0,01	   -5,03	    0,00	  -18,29	    1,19	   -0,66	    2,38	    5,46	   -0,00
 P142	   -3,40	  -21,39	    7,86	  -32,15	    7,50	  -31,74	 -138,83	    7,31	   -0,21	    0,53	   -0,80	    2,92	   -7,32	    0,21	   -0,53	    0,80	   -2,91	 -253,77	   15,90	   -3,50	   40,36	  185,10	  253,72	  -15,90	    3,50	  -40,35	 -185,08	 -106,66	    7,10	   -0,47	   17,42	   94,86	  142,69	   -8,30	    2,91	  -21,48	  -83,76	  106,69	   -7,10	    0,47	  -17,42	  -94,87	   -0,00	 -142,67	    8,30	   -2,91	   21,48	   83,75	   -0,00
 P143	   -1,83	   -9,11	    1,85	  -30,98	    7,24	  -25,82	 -112,01	    5,84	    0,44	    0,30	   -0,85	    1,49	   -5,84	   -0,44	   -0,30	    0,85	   -1,49	  -45,23	   12,50	   -2,74	   22,67	  103,92	   45,22	  -12,50	    2,74	  -22,66	 -103,91	   -7,84	    6,91	   -0,61	    8,77	   52,48	   35,23	   -5,07	    2,01	  -12,83	  -46,71	    7,84	   -6,91	    0,61	   -8,77	  -52,49	   -0,00	  -35,23	    5,07	   -2,01	   12,83	   46,70	   -0,00
 P144	   -2,95	  -13,99	   10,64	  -41,17	    9,27	  -35,91	 -160,88	   -0,88	    0,44	    0,15	   -0,47	    1,19	    0,87	   -0,44	   -0,15	    0,47	   -1,19	 -198,15	   14,21	   -3,10	   29,57	  135,64	  198,12	  -14,21	    3,10	  -29,56	 -135,62	  -95,71	    7,65	   -1,11	   12,81	   66,36	   91,89	   -5,82	    1,83	  -15,14	  -61,95	   95,72	   -7,65	    1,11	  -12,81	  -66,36	   -0,00	  -91,88	    5,82	   -1,83	   15,14	   61,94	   -0,00
 P145	   -2,11	   -9,87	   16,37	  -59,01	   14,19	  -50,34	 -216,28	   -2,24	   -0,29	    0,64	   -2,01	   -1,13	    2,23	    0,29	   -0,64	    2,01	    1,13	 -248,67	   13,59	   -3,20	   25,05	  113,01	  248,64	  -13,59	    3,20	  -25,04	 -113,00	 -118,15	    5,54	   -0,00	    6,85	   49,00	  106,70	   -6,84	    2,90	  -15,94	  -54,07	  118,15	   -5,54	    0,00	   -6,85	  -49,00	    0,00	 -106,68	    6,84	   -2,90	   15,93	   54,06	   -0,00
 P501	   -0,36	   -0,31	    1,96	   -0,20	    0,28	   -0,84	   -0,32	    1,29	    0,05	    0,21	   -0,55	    0,12	   -1,29	   -0,05	   -0,21	    0,55	   -0,12	   -1,51	    0,16	   -0,02	    0,07	    0,38	    1,51	   -0,16	    0,02	   -0,07	   -0,38	    2,30	    0,19	    0,47	   -1,23	    0,47	    3,57	    0,02	    0,47	   -1,25	    0,08	   -2,30	   -0,19	   -0,47	    1,23	   -0,47	   -0,00	   -3,57	   -0,02	   -0,47	    1,25	   -0,08	   -0,00
 P502	   -0,00	    0,35	    2,24	   -1,74	    0,40	   -0,79	   -3,43	    3,43	    0,02	    0,05	   -0,09	    0,05	   -3,43	   -0,02	   -0,05	    0,09	   -0,05	    1,15	    0,76	   -0,17	    0,49	    2,22	   -1,15	   -0,76	    0,17	   -0,49	   -2,22	    8,54	    0,41	    0,02	    0,03	    1,19	    7,07	   -0,35	    0,19	   -0,45	   -1,00	   -8,54	   -0,41	   -0,02	   -0,03	   -1,20	   -0,00	   -7,07	    0,35	   -0,19	    0,45	    1,00	   -0,00
 P504	   -0,29	   -0,32	   -0,96	   -0,03	    0,43	   -1,06	   -0,06	   -0,66	    0,06	    0,27	   -0,62	    0,13	    0,66	   -0,06	   -0,27	    0,62	   -0,13	   -0,19	    0,06	    0,00	    0,05	    0,27	    0,19	   -0,06	   -0,00	   -0,05	   -0,27	   -1,64	    0,16	    0,61	   -1,40	    0,44	   -1,34	    0,09	    0,59	   -1,39	    0,16	    1,64	   -0,16	   -0,61	    1,40	   -0,44	   -0,00	    1,34	   -0,09	   -0,59	    1,39	   -0,16	    0,00
 P506	   -1,53	    1,85	    0,09	   -1,38	    0,55	  -10,00	   -1,41	    4,70	    0,57	    2,67	  -13,59	    2,97	   -4,71	   -0,57	   -2,67	   13,59	   -2,97	  -33,29	    0,66	    0,20	    0,78	    2,92	   33,28	   -0,66	   -0,20	   -0,78	   -2,92	   -5,10	    1,59	    6,12	  -30,71	    8,22	   27,31	    0,93	    5,87	  -30,75	    5,19	    5,10	   -1,59	   -6,12	   30,71	   -8,22	   -0,00	  -27,31	   -0,93	   -5,87	   30,75	   -5,19	    0,00
 P508	   -1,22	    0,31	    0,12	   -0,38	    0,63	   -2,06	   -0,77	    2,98	    0,29	    1,38	   -4,13	    0,90	   -2,98	   -0,29	   -1,38	    4,13	   -0,90	  -11,95	    0,21	   -0,09	    0,33	    0,97	   11,95	   -0,21	    0,09	   -0,33	   -0,97	    1,14	    0,75	    3,07	   -9,21	    2,50	   12,83	    0,55	    3,16	   -9,50	    1,54	   -1,14	   -0,75	   -3,07	    9,21	   -2,50	   -0,00	  -12,83	   -0,55	   -3,16	    9,50	   -1,54	    0,00
 P509	   -1,10	    0,20	   -0,19	   -0,70	   -0,73	    1,30	   -1,56	    5,79	    0,29	    1,39	   -4,12	    0,89	   -5,79	   -0,29	   -1,39	    4,12	   -0,89	    0,15	    0,22	   -0,00	    0,26	    0,98	   -0,16	   -0,22	    0,00	   -0,26	   -0,98	   13,60	    0,76	    3,13	   -9,18	    2,48	   13,42	    0,55	    3,16	   -9,49	    1,54	  -13,60	   -0,76	   -3,13	    9,17	   -2,48	   -0,00	  -13,42	   -0,55	   -3,16	    9,49	   -1,54	   -0,00
 P510	   -1,32	    0,15	   -0,54	   -0,70	   -0,34	    1,10	   -1,69	    2,69	    0,30	    1,40	   -4,13	    0,90	   -2,69	   -0,30	   -1,40	    4,13	   -0,90	   12,59	    0,21	   -0,00	    0,24	    0,97	  -12,59	   -0,21	    0,00	   -0,23	   -0,97	   12,45	    0,77	    3,14	   -9,19	    2,50	    0,09	    0,57	    3,19	   -9,56	    1,58	  -12,45	   -0,77	   -3,14	    9,18	   -2,50	   -0,00	   -0,09	   -0,57	   -3,19	    9,56	   -1,58	   -0,00
 P511	    0,77	   -0,87	    1,39	   -2,57	    0,79	   26,83	  -11,78	    3,70	    1,17	    5,48	  -48,18	   10,50	   -3,70	   -1,17	   -5,48	   48,18	  -10,50	   34,10	    0,37	   -0,81	   -1,78	    3,25	  -34,09	   -0,37	    0,81	    1,79	   -3,25	   25,34	    2,78	   11,80	 -109,03	   25,14	   -8,05	    2,50	   12,98	 -111,40	   22,84	  -25,34	   -2,78	  -11,79	  109,01	  -25,13	   -0,00	    8,05	   -2,50	  -12,98	  111,40	  -22,84	   -0,00
