 Elem	Todas permanentes e acidentais dos pavimentos	-	Empuxo	-	-	-	-	Vento (1) 90°	-	-	-	-	Vento (2) 270°	-	-	-	-	Vento (3) 0°	-	-	-	-	Vento (4) 180°	-	-	-	-	
 	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My
 P19A	    3,64	   -0,06	   -4,24	   44,59	   49,94	   -0,98	   25,47	  -74,82	    0,21	   13,77	   -1,12	   -0,54	   74,82	   -0,21	  -13,77	    1,12	    0,54	   -4,99	    3,42	    0,18	    0,01	    5,35	    4,99	   -3,42	   -0,18	   -0,01	   -5,35
 P20A	   -0,13	    1,68	   -3,26	   41,15	   34,73	   -1,48	   21,94	  -81,14	    0,57	   15,61	   -1,44	   -0,63	   81,14	   -0,57	  -15,61	    1,44	    0,63	    4,04	    3,81	   -0,70	   -0,03	    5,54	   -4,04	   -3,81	    0,70	    0,03	   -5,54
 P21A	    1,02	   -3,51	    0,84	   34,83	   36,15	   -1,42	   41,36	    6,84	    0,29	   10,96	   -1,01	   -0,76	   -6,84	   -0,29	  -10,96	    1,01	    0,76	    1,63	    2,93	    0,07	    0,01	    9,05	   -1,63	   -2,93	   -0,07	   -0,01	   -9,05
 P22A	  -16,91	   -2,45	   18,19	   41,42	   37,07	  -25,96	    1,21	   82,90	    0,98	    9,73	  -22,23	    0,02	  -82,90	   -0,98	   -9,73	   22,23	   -0,02	  -11,59	    2,86	    0,32	    0,89	    0,25	   11,59	   -2,86	   -0,32	   -0,89	   -0,25
 P23A	   -1,99	   -0,22	   20,69	   33,06	   18,54	  -36,50	    0,89	   92,95	   -0,16	   11,54	  -23,97	   -0,07	  -92,95	    0,16	  -11,54	   23,97	    0,07	   11,60	    3,23	   -1,14	   -0,88	    0,21	  -11,60	   -3,23	    1,14	    0,88	   -0,21
 P24A	    2,54	   -0,99	  -22,78	   45,96	   36,95	  -27,50	    1,07	 -159,53	    3,16	    9,70	  -21,94	   -0,08	  159,53	   -3,16	   -9,70	   21,94	    0,08	   -7,63	    2,58	    0,32	    0,89	    0,23	    7,63	   -2,58	   -0,32	   -0,89	   -0,23
 P25A	  -16,92	    3,20	   -6,60	   42,63	   49,34	  -29,92	    3,86	 -112,41	    2,29	   15,48	  -27,68	   -0,18	  112,41	   -2,29	  -15,48	   27,68	    0,18	    0,18	    2,70	   -0,37	    0,38	    0,84	   -0,18	   -2,70	    0,37	   -0,38	   -0,84
 P26A	   -5,02	   -6,61	  -30,26	   36,30	   39,31	 -180,40	   12,70	 -537,73	   -0,48	   13,52	 -129,92	   -0,11	  537,73	    0,48	  -13,52	  129,92	    0,11	   -5,53	    3,25	   -0,65	   -0,90	    2,58	    5,53	   -3,25	    0,65	    0,90	   -2,58
 P28A	   -8,85	    6,96	  -26,58	   38,71	   50,51	 -129,66	   11,62	 -531,47	    1,28	   13,97	 -133,37	   -0,15	  531,47	   -1,28	  -13,97	  133,37	    0,15	    7,22	    3,34	    0,86	    2,81	    2,61	   -7,22	   -3,34	   -0,86	   -2,81	   -2,61
 P29A	  -13,06	   -2,89	   -4,67	   24,23	   47,34	  -27,87	    4,28	 -105,01	   -1,34	   17,39	  -28,97	    0,07	  105,01	    1,34	  -17,39	   28,97	   -0,07	   -0,52	    2,70	    0,04	   -0,13	    0,86	    0,52	   -2,70	   -0,04	    0,13	   -0,86
 P30A	   -4,14	    0,04	  -20,00	   20,73	   19,42	  -51,48	    1,31	 -173,52	   -2,34	   11,65	  -32,38	    0,06	  173,52	    2,34	  -11,65	   32,38	   -0,06	    9,37	    2,63	   -1,11	   -1,19	    0,26	   -9,37	   -2,63	    1,11	    1,19	   -0,26
 P101	   -0,26	   -0,03	    0,22	    1,35	    0,35	   -0,60	    5,03	    1,09	   -0,04	    0,28	   -0,47	   -0,19	   -1,09	    0,04	   -0,28	    0,47	    0,19	    0,08	    0,22	   -0,01	    0,01	    0,87	   -0,08	   -0,22	    0,01	   -0,01	   -0,87
 P102	   -0,54	   -0,07	   -0,79	    1,42	    0,29	   -0,46	    5,02	   -1,46	   -0,05	    0,21	   -0,32	   -0,20	    1,46	    0,05	   -0,21	    0,32	    0,20	    0,21	    0,24	   -0,00	    0,01	    0,86	   -0,21	   -0,24	    0,00	   -0,01	   -0,86
 P103	   -0,59	   -0,13	   -0,07	    1,51	    0,27	   -0,49	    5,06	   -0,23	   -0,06	    0,18	   -0,35	   -0,20	    0,23	    0,06	   -0,18	    0,35	    0,20	    0,09	    0,25	   -0,00	    0,00	    0,86	   -0,09	   -0,25	    0,00	   -0,00	   -0,86
 P104	   -0,74	   -0,08	    0,79	    1,57	    0,24	   -0,44	    5,05	   -0,56	   -0,06	    0,17	   -0,33	   -0,20	    0,56	    0,06	   -0,17	    0,33	    0,20	    0,41	    0,26	   -0,00	    0,00	    0,86	   -0,41	   -0,26	    0,00	   -0,00	   -0,86
 P105	   -0,57	   -0,07	   -1,13	    1,61	    0,29	   -0,54	    5,07	    1,06	   -0,06	    0,23	   -0,44	   -0,18	   -1,06	    0,06	   -0,23	    0,44	    0,18	   -0,44	    0,27	    0,00	   -0,01	    0,85	    0,44	   -0,27	   -0,00	    0,01	   -0,85
 P106	   -0,45	   -0,27	    3,49	    1,66	    0,27	   -0,49	    4,92	    1,29	   -0,07	    0,23	   -0,45	   -0,22	   -1,29	    0,07	   -0,23	    0,45	    0,22	    1,33	    0,27	   -0,00	    0,00	    0,83	   -1,33	   -0,27	    0,00	   -0,00	   -0,83
 P107	    0,36	    0,02	    2,10	    0,35	    1,81	   -3,64	    0,69	    8,12	   -0,01	    0,95	   -2,46	   -0,02	   -8,12	    0,01	   -0,95	    2,46	    0,02	   -0,05	    0,05	   -0,01	    0,03	    0,11	    0,05	   -0,05	    0,01	   -0,03	   -0,11
 P108	    1,29	   -0,03	    1,57	    0,35	    1,87	   -3,66	    0,69	    7,18	   -0,01	    1,12	   -2,67	   -0,02	   -7,18	    0,01	   -1,12	    2,67	    0,02	   -0,02	    0,05	   -0,00	    0,01	    0,11	    0,02	   -0,05	    0,00	   -0,01	   -0,11
 P109	    1,15	    0,08	    1,33	    0,34	    1,78	   -3,48	    0,67	    6,53	   -0,02	    1,13	   -2,72	   -0,03	   -6,53	    0,02	   -1,13	    2,72	    0,03	    0,04	    0,05	    0,01	   -0,02	    0,11	   -0,04	   -0,05	   -0,01	    0,02	   -0,11
 P110	   -0,98	   -0,13	    1,22	    0,62	    8,67	  -19,82	    1,26	    5,99	   -0,02	    3,57	  -13,13	   -0,04	   -5,99	    0,02	   -3,57	   13,13	    0,04	    0,09	    0,07	   -0,11	    0,28	    0,20	   -0,09	   -0,07	    0,11	   -0,28	   -0,20
 P111	    1,29	    0,27	    2,34	    0,43	    7,43	  -17,21	    1,04	    9,79	   -0,00	    3,49	  -13,75	   -0,02	   -9,79	    0,00	   -3,49	   13,75	    0,02	    0,20	    0,03	    0,10	   -0,22	    0,15	   -0,20	   -0,03	   -0,10	    0,22	   -0,15
 P112	    0,05	    0,04	   -0,49	    0,37	    2,02	   -3,88	    0,71	   -0,93	   -0,01	    1,19	   -2,71	   -0,02	    0,93	    0,01	   -1,19	    2,71	    0,02	   -0,04	    0,05	   -0,01	    0,03	    0,12	    0,04	   -0,05	    0,01	   -0,03	   -0,12
 P113	   -0,19	    0,02	   -0,15	    0,36	    1,93	   -3,72	    0,70	   -0,41	   -0,01	    1,17	   -2,72	   -0,02	    0,41	    0,01	   -1,17	    2,72	    0,02	    0,01	    0,05	   -0,00	    0,01	    0,12	   -0,01	   -0,05	    0,00	   -0,01	   -0,12
 P114	   -0,31	    0,02	   -0,10	    0,36	    1,83	   -3,54	    0,69	   -0,40	   -0,00	    1,21	   -2,80	   -0,01	    0,40	    0,00	   -1,21	    2,80	    0,01	   -0,01	    0,05	    0,01	   -0,02	    0,12	    0,01	   -0,05	   -0,01	    0,02	   -0,12
 P115	   -1,00	    0,30	   -1,79	    0,26	    1,76	   -3,38	    0,60	   -6,08	    0,01	    1,28	   -2,90	    0,00	    6,08	   -0,01	   -1,28	    2,90	   -0,00	    0,30	    0,02	    0,03	   -0,05	    0,09	   -0,30	   -0,02	   -0,03	    0,05	   -0,09
 P116	    3,45	   -0,00	   -0,56	    0,68	    8,54	  -19,98	    1,37	   11,98	   -0,04	    3,07	  -12,67	   -0,06	  -11,98	    0,04	   -3,07	   12,67	    0,06	   -0,72	    0,08	   -0,10	    0,27	    0,21	    0,72	   -0,08	    0,10	   -0,27	   -0,21
 P117	   -4,29	   -0,53	    1,65	    0,80	    4,79	  -11,47	    1,43	    5,69	   -0,00	    1,91	   -7,69	   -0,01	   -5,69	    0,00	   -1,91	    7,69	    0,01	    0,53	    0,11	   -0,09	    0,25	    0,22	   -0,53	   -0,11	    0,09	   -0,25	   -0,22
 P118	   -0,11	   -0,00	   -0,59	    0,39	    1,83	   -3,68	    0,74	    0,60	   -0,01	    0,97	   -2,48	   -0,02	   -0,60	    0,01	   -0,97	    2,48	    0,02	   -0,00	    0,06	   -0,01	    0,03	    0,13	    0,00	   -0,06	    0,01	   -0,03	   -0,13
 P119	   -0,25	    0,01	   -0,52	    0,37	    1,78	   -3,58	    0,71	    3,57	   -0,02	    1,00	   -2,55	   -0,03	   -3,57	    0,02	   -1,00	    2,55	    0,03	    0,00	    0,06	   -0,00	    0,01	    0,13	   -0,00	   -0,06	    0,00	   -0,01	   -0,13
 P120	   -0,17	    0,07	   -0,51	    0,37	    1,71	   -3,43	    0,71	   -0,10	   -0,01	    1,04	   -2,62	   -0,02	    0,10	    0,01	   -1,04	    2,62	    0,02	    0,06	    0,06	    0,01	   -0,01	    0,13	   -0,06	   -0,06	   -0,01	    0,01	   -0,13
 P122	    1,51	    1,56	   -0,17	   24,17	   14,35	   -0,35	    5,21	    0,05	   -2,60	    3,59	   -0,27	    0,03	   -0,05	    2,60	   -3,59	    0,27	   -0,03	    0,59	    2,40	    0,33	    0,01	    0,71	   -0,59	   -2,40	   -0,33	   -0,01	   -0,71
 P125	    1,82	    3,06	    0,97	   37,88	   14,89	   -0,39	    4,12	    4,10	    0,74	    3,77	   -0,28	   -0,16	   -4,10	   -0,74	   -3,77	    0,28	    0,16	    0,12	    2,47	    0,33	    0,01	    0,71	   -0,12	   -2,47	   -0,33	   -0,01	   -0,71
 P126	   -0,22	   -0,03	    0,11	    0,56	    1,36	   -3,27	    1,01	    1,45	   -0,00	    0,40	   -1,83	   -0,00	   -1,45	    0,00	   -0,40	    1,83	    0,00	   -0,06	    0,07	   -0,02	    0,07	    0,15	    0,06	   -0,07	    0,02	   -0,07	   -0,15
 P127	   -0,65	   -0,08	   -0,42	    0,50	    1,99	   -4,00	    0,92	   -3,98	    0,02	    0,95	   -2,42	    0,02	    3,98	   -0,02	   -0,95	    2,42	   -0,02	    0,29	    0,06	   -0,04	    0,08	    0,13	   -0,29	   -0,06	    0,04	   -0,08	   -0,13
 P130	   -2,63	    0,10	   -0,46	    0,51	    2,13	   -4,36	    0,94	   -3,02	    0,01	    0,82	   -2,29	    0,01	    3,02	   -0,01	   -0,82	    2,29	   -0,01	   -0,05	    0,06	   -0,03	    0,06	    0,14	    0,05	   -0,06	    0,03	   -0,06	   -0,14
 P131	   -2,19	    0,01	   -0,71	    0,47	    2,27	   -4,58	    0,87	   -5,60	   -0,00	    0,87	   -2,36	   -0,00	    5,60	    0,00	   -0,87	    2,36	    0,00	    0,05	    0,06	   -0,02	    0,04	    0,14	   -0,05	   -0,06	    0,02	   -0,04	   -0,14
 P132	    0,20	   -0,01	   -0,51	    0,44	    2,56	   -4,95	    0,81	   -3,93	    0,00	    1,05	   -2,58	    0,00	    3,93	   -0,00	   -1,05	    2,58	   -0,00	   -0,05	    0,06	    0,00	    0,01	    0,14	    0,05	   -0,06	   -0,00	   -0,01	   -0,14
 P133	    0,59	    0,11	   -0,30	    0,41	    2,55	   -4,94	    0,77	   -3,42	    0,00	    1,06	   -2,61	    0,01	    3,42	   -0,00	   -1,06	    2,61	   -0,01	   -0,04	    0,06	    0,01	   -0,01	    0,14	    0,04	   -0,06	   -0,01	    0,01	   -0,14
 P134	    0,75	   -0,29	   -0,22	    0,40	    2,37	   -4,64	    0,75	   -2,44	    0,00	    1,06	   -2,65	    0,01	    2,44	   -0,00	   -1,06	    2,65	   -0,01	   -0,03	    0,06	    0,00	   -0,01	    0,14	    0,03	   -0,06	   -0,00	    0,01	   -0,14
 P135	    0,02	    0,83	   -0,24	    0,37	    2,31	   -4,42	    0,72	   -4,33	    0,00	    1,25	   -2,88	    0,01	    4,33	   -0,00	   -1,25	    2,88	   -0,01	    0,26	    0,06	    0,01	   -0,02	    0,13	   -0,26	   -0,06	   -0,01	    0,02	   -0,13
 P136	   -0,00	   -0,17	   -0,73	    0,44	    1,88	   -3,92	    0,90	   -0,67	   -0,00	    0,77	   -2,21	    0,00	    0,67	    0,00	   -0,77	    2,21	   -0,00	    0,47	    0,04	   -0,04	    0,09	    0,11	   -0,47	   -0,04	    0,04	   -0,09	   -0,11
 P801	   -0,11	   -0,13	    0,77	    1,22	    1,26	   -1,39	    1,48	    3,32	   -0,02	    0,46	   -0,97	    0,04	   -3,32	    0,02	   -0,46	    0,97	   -0,04	   -0,33	    0,19	    0,05	   -0,00	    0,19	    0,33	   -0,19	   -0,05	    0,00	   -0,19
 P802	   -0,06	   -0,41	   -0,32	    0,85	    1,41	   -1,40	    1,43	    0,52	    0,04	    0,44	   -0,99	    0,05	   -0,52	   -0,04	   -0,44	    0,99	   -0,05	   -0,22	    0,08	    0,08	    0,00	    0,19	    0,22	   -0,08	   -0,08	   -0,00	   -0,19
 P803	   -0,15	   -0,53	   -0,21	    0,89	    1,48	   -1,39	    1,52	    0,05	    0,02	    0,45	   -1,03	    0,00	   -0,05	   -0,02	   -0,45	    1,03	   -0,00	   -0,15	    0,09	    0,08	    0,01	    0,22	    0,15	   -0,09	   -0,08	   -0,01	   -0,22
 P804	   -0,06	   -0,51	   -0,16	    0,92	    1,60	   -1,38	    1,50	   -0,08	    0,05	    0,44	   -0,99	    0,05	    0,08	   -0,05	   -0,44	    0,99	   -0,05	   -0,09	    0,08	    0,10	    0,00	    0,20	    0,09	   -0,08	   -0,10	   -0,00	   -0,20
 P805	   -0,05	   -0,48	   -0,09	    0,98	    1,76	   -1,36	    1,54	    0,30	    0,05	    0,44	   -0,99	    0,04	   -0,30	   -0,05	   -0,44	    0,99	   -0,04	   -0,17	    0,08	    0,11	    0,01	    0,21	    0,17	   -0,08	   -0,11	   -0,01	   -0,21
 P806	    0,02	   -0,15	   -0,35	    0,92	    2,02	   -1,34	    1,61	    0,46	    0,04	    0,44	   -1,00	    0,03	   -0,46	   -0,04	   -0,44	    1,00	   -0,03	   -0,36	    0,09	    0,13	    0,01	    0,21	    0,36	   -0,09	   -0,13	   -0,01	   -0,21
 P807	   -0,00	   -0,17	   -0,65	    0,73	    2,40	   -1,28	    1,80	    0,02	    0,06	    0,42	   -0,98	    0,07	   -0,02	   -0,06	   -0,42	    0,98	   -0,07	   -0,41	    0,11	    0,16	    0,01	    0,23	    0,41	   -0,11	   -0,16	   -0,01	   -0,23
 P808	   -0,03	   -0,32	   -0,17	   14,23	   -0,78	   -1,31	    1,71	   -0,22	    0,07	    0,41	   -0,98	    0,07	    0,22	   -0,07	   -0,41	    0,98	   -0,07	   -0,22	    0,11	    0,21	    0,01	    0,21	    0,22	   -0,11	   -0,21	   -0,01	   -0,21
 P809	   -0,02	   -0,36	   -0,01	   95,24	  -21,87	   13,47	   57,24	   -0,29	    0,06	    0,40	   -0,98	    0,07	    0,29	   -0,06	   -0,40	    0,98	   -0,07	   -0,20	    0,12	    0,26	    0,01	    0,22	    0,20	   -0,12	   -0,26	   -0,01	   -0,22
 P810	   -0,06	   -0,33	   -0,03	   91,25	  -20,11	   13,43	   57,40	    0,08	   -0,42	    0,51	   -0,98	    0,07	   -0,08	    0,42	   -0,51	    0,98	   -0,07	   -0,45	    0,47	    0,24	    0,01	    0,22	    0,45	   -0,47	   -0,24	   -0,01	   -0,22
 P811	    0,46	    0,55	   -0,83	   23,55	   -1,19	   -1,43	    2,13	   -0,21	   -2,06	    0,94	   -1,00	    0,07	    0,21	    2,06	   -0,94	    1,00	   -0,07	   -0,70	    1,94	   -0,08	    0,02	    0,30	    0,70	   -1,94	    0,08	   -0,02	   -0,30
 P812	    0,60	    2,26	   -0,28	   30,70	   -2,84	    0,56	    9,19	    0,11	   -0,47	    0,49	   -0,98	    0,08	   -0,11	    0,47	   -0,49	    0,98	   -0,08	   -0,60	    2,11	   -0,06	    0,01	    0,20	    0,60	   -2,11	    0,06	   -0,01	   -0,20
 P813	    2,41	    8,39	   -0,26	   39,30	   -4,86	    5,92	   28,65	    0,12	    1,00	    0,12	   -0,98	    0,05	   -0,12	   -1,00	   -0,12	    0,98	   -0,05	   -0,54	    2,18	   -0,07	    0,01	    0,21	    0,54	   -2,18	    0,07	   -0,01	   -0,21
 P814	    0,19	    2,48	   -0,19	   39,55	   -4,66	   -1,65	    1,39	    0,11	    2,16	   -0,13	   -0,98	    0,05	   -0,11	   -2,16	    0,13	    0,98	   -0,05	   -0,41	    2,11	   -0,09	    0,01	    0,20	    0,41	   -2,11	    0,09	   -0,01	   -0,20
 P815	   -0,01	   -0,25	   -0,10	   14,69	    1,24	   -1,56	    1,82	    0,17	    0,51	    0,33	   -0,97	    0,08	   -0,17	   -0,51	   -0,33	    0,97	   -0,08	   -0,27	    0,49	    0,27	    0,01	    0,23	    0,27	   -0,49	   -0,27	   -0,01	   -0,23
 P816	   -0,00	   -0,31	    0,30	   43,54	   -7,51	    5,81	   28,62	    0,63	    0,06	    0,45	   -0,98	    0,08	   -0,63	   -0,06	   -0,45	    0,98	   -0,08	   -0,15	    0,14	    0,29	    0,02	    0,24	    0,15	   -0,14	   -0,29	   -0,02	   -0,24
 P817	    0,03	   -0,05	    0,48	   30,52	   -4,50	    2,09	   15,31	    0,98	    0,07	    0,45	   -0,97	    0,08	   -0,98	   -0,07	   -0,45	    0,97	   -0,08	   -0,13	    0,14	    0,24	    0,02	    0,25	    0,13	   -0,14	   -0,24	   -0,02	   -0,25
 P818	    0,01	   -0,18	    0,38	   26,44	   -3,80	    2,08	   15,36	    0,76	    0,09	    0,44	   -0,96	    0,11	   -0,76	   -0,09	   -0,44	    0,96	   -0,11	   -0,19	    0,12	    0,21	    0,01	    0,23	    0,19	   -0,12	   -0,21	   -0,01	   -0,23
 P819	   -0,00	   -0,22	    0,13	   17,41	   -1,60	    1,51	   13,32	    0,10	    0,07	    0,45	   -0,97	    0,09	   -0,10	   -0,07	   -0,45	    0,97	   -0,09	   -0,60	    0,15	    0,18	    0,02	    0,25	    0,60	   -0,15	   -0,18	   -0,02	   -0,25
 P820	    0,12	    0,10	   -2,68	    5,06	    1,71	    0,01	    8,05	   -3,40	    0,02	    0,46	   -0,95	    0,06	    3,40	   -0,02	   -0,46	    0,95	   -0,06	   -1,20	    0,18	    0,16	    0,03	    0,36	    1,20	   -0,18	   -0,16	   -0,03	   -0,36
 P821	    0,24	    0,05	   -0,80	    3,91	   16,48	  -10,20	    2,49	   -1,98	    0,03	    0,20	   -0,66	    0,02	    1,98	   -0,03	   -0,20	    0,66	   -0,02	    0,22	    0,18	    0,02	    0,03	    0,36	   -0,22	   -0,18	   -0,02	   -0,03	   -0,36
 P822	    0,10	    0,09	   -0,34	    2,99	   30,90	  -18,38	    2,31	   -0,76	    0,03	    0,13	   -0,62	    0,03	    0,76	   -0,03	   -0,13	    0,62	   -0,03	    0,17	    0,18	   -0,01	    0,02	    0,36	   -0,17	   -0,18	    0,01	   -0,02	   -0,36
 P823	    0,04	    0,07	   -0,04	    2,40	   35,69	  -26,46	    2,08	   -0,14	    0,02	    0,11	   -0,58	    0,03	    0,14	   -0,02	   -0,11	    0,58	   -0,03	    0,09	    0,18	   -0,00	    0,02	    0,36	   -0,09	   -0,18	    0,00	   -0,02	   -0,36
 P824	    0,04	    0,06	   -0,06	    2,02	   34,92	  -24,56	    2,06	   -0,19	    0,02	    0,11	   -0,59	    0,03	    0,19	   -0,02	   -0,11	    0,59	   -0,03	    0,03	    0,18	   -0,00	    0,02	    0,36	   -0,03	   -0,18	    0,00	   -0,02	   -0,36
 P825	    0,03	    0,07	   -0,24	    1,76	   32,54	  -17,83	    2,15	   -0,54	    0,02	    0,13	   -0,62	    0,03	    0,54	   -0,02	   -0,13	    0,62	   -0,03	    0,01	    0,18	   -0,00	    0,02	    0,36	   -0,01	   -0,18	    0,00	   -0,02	   -0,36
 P826	    0,03	    0,07	   -0,08	    1,46	   34,73	  -24,45	    1,95	   -0,26	    0,02	    0,12	   -0,60	    0,03	    0,26	   -0,02	   -0,12	    0,60	   -0,03	    0,00	    0,18	   -0,00	    0,01	    0,36	   -0,00	   -0,18	    0,00	   -0,01	   -0,36
 P827	    0,02	    0,06	   -0,09	    1,26	   34,69	  -24,29	    1,90	   -0,29	    0,02	    0,12	   -0,61	    0,03	    0,29	   -0,02	   -0,12	    0,61	   -0,03	    0,00	    0,18	   -0,00	    0,01	    0,36	   -0,00	   -0,18	    0,00	   -0,01	   -0,36
 P828	    0,03	    0,03	   -0,25	    1,14	   32,56	  -17,95	    1,98	   -0,59	    0,02	    0,13	   -0,64	    0,03	    0,59	   -0,02	   -0,13	    0,64	   -0,03	    0,01	    0,18	   -0,00	    0,01	    0,36	   -0,01	   -0,18	    0,00	   -0,01	   -0,36
 P829	    0,01	    0,07	   -0,08	    0,96	   34,72	  -24,32	    1,79	   -0,27	    0,02	    0,12	   -0,61	    0,03	    0,27	   -0,02	   -0,12	    0,61	   -0,03	    0,01	    0,18	   -0,00	    0,01	    0,36	   -0,01	   -0,18	    0,00	   -0,01	   -0,36
 P830	    0,01	    0,07	   -0,05	    0,85	   34,93	  -24,93	    1,73	   -0,21	    0,02	    0,12	   -0,61	    0,03	    0,21	   -0,02	   -0,12	    0,61	   -0,03	    0,01	    0,18	    0,00	    0,00	    0,36	   -0,01	   -0,18	   -0,00	   -0,00	   -0,36
 P831	    0,01	   -0,18	   -0,18	    0,81	   32,65	  -18,12	    1,83	   -0,45	    0,02	    0,14	   -0,65	    0,03	    0,45	   -0,02	   -0,14	    0,65	   -0,03	    0,03	    0,18	    0,00	    0,00	    0,37	   -0,03	   -0,18	   -0,00	   -0,00	   -0,37
